year,sido,adm_cd,sigungu,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female
2022,대전광역시,25030,서구,474248,232872,241376,38567,48455,75110,63815,74166,76085,60256,27481,12916,1887,56871,349665,67712,0.15837705166916888,0.13456039877869808,0.15638653194109411,0.16043293804085626,0.12705588637168738,0.08916010188761998,0.14277761846122702,0.7373041109293028,0.5089657731819639
2022,대전광역시,25040,유성구,369281,189660,179621,36067,39856,63149,55698,60042,55907,38966,14809,7362,1277,51038,279270,38973,0.17100527782366273,0.15082823107606402,0.16259163076356486,0.15139419574795346,0.10551856174566251,0.06349636184910677,0.1055375175002234,0.7562533680313908,0.4864073699973733
2022,대전광역시,25050,대덕구,174695,88590,86105,11271,15368,24674,20240,25130,32575,27286,12590,6120,768,16913,127023,30759,0.14124044763731075,0.11585906866252611,0.143850711239589,0.1864678439566101,0.15619222072755373,0.1114971808008243,0.17607258364578265,0.7271129683162082,0.4928876041100203
2022,울산광역시,26010,중구,204622,103223,101399,15952,18158,21861,23966,31784,38861,34154,15498,5748,627,23659,144505,36458,0.10683601958733666,0.11712328097663008,0.15533031638826714,0.18991604030847123,0.1669126486888018,0.10689466430784568,0.17817243502653674,0.706204611429856,0.49554300124131323
2022,울산광역시,26020,남구,311172,158893,152279,24125,27511,41514,41155,48250,59930,45551,18315,6842,817,35255,231255,44662,0.13341174655817362,0.13225804378285963,0.15505893846490043,0.19259444937205147,0.14638527888113326,0.08347152057383055,0.1435283380252722,0.7431741930507886,0.4893724371087373
2022,울산광역시,26030,동구,154118,81404,72714,14508,15649,16066,21435,26962,24465,24150,9518,2863,332,21104,110349,22665,0.10424479943939059,0.1390817425608949,0.17494387417433396,0.15874200288090942,0.156698114431799,0.08248874239219299,0.14706264031456417,0.7160033221297967,0.47180731647179436
2022,울산광역시,26040,북구,216750,112367,104383,25481,23995,23149,32481,39332,38822,23985,8370,3454,488,35830,159832,21088,0.106800461361015,0.14985467128027682,0.18146251441753172,0.17910957324106114,0.11065743944636679,0.056802768166089965,0.09729181084198385,0.7374025374855825,0.4815824682814302
2022,울산광역시,26510,울주군,223854,117193,106661,17505,21217,25996,26287,35604,43222,33240,14610,7266,1067,26015,161006,36833,0.11612926282309005,0.11742921725767688,0.15905009515130397,0.19308120471378667,0.14848964056929964,0.10249090925335264,0.1645402807186827,0.7192455797082027,0.47647573865108506
2022,세종특별자치시,29010,세종시,382589,192165,190424,51224,48475,43501,61115,74518,50589,34862,15253,7524,1168,72186,271913,38490,0.1137016485053151,0.15974060937455076,0.19477298092731365,0.13222805673973898,0.09112128158415428,0.06258674452218961,0.10060404245809472,0.7107182903847209,0.4977247124198553
2022,경기도,31011,수원시 장안구,276081,139587,136494,18683,27473,43962,33981,42927,49752,35370,16495,8496,1294,28822,206828,40431,0.15923587642757017,0.1230834429026264,0.1554869766481576,0.1802079824399361,0.12811457507035978,0.09520756589551617,0.1464461516728786,0.749156950315306,0.4943983830832256
2022,경기도,31012,수원시 권선구,371343,187584,183759,32301,31760,50132,58765,61838,64315,47343,19113,8269,1115,45251,279052,47040,0.13500187158503055,0.15824991988538897,0.16652528794133725,0.173195670848784,0.12749129510991186,0.07674037210880506,0.12667533789515353,0.751466972583299,0.49484977500585714
2022,경기도,31013,수원시 팔달구,205106,103974,101132,13436,13580,30585,33343,30836,36177,28494,13236,5952,726,18584,154777,31745,0.149118017025343,0.16256472263122482,0.1503417744970893,0.17638196834807368,0.13892328844597426,0.09709126012890895,0.1547736292453658,0.754619562567648,0.49307187503047206
2022,경기도,31014,수원시 영통구,363819,182734,181085,35579,41002,58900,60471,65535,55927,31802,12189,5795,811,51812,281436,30571,0.1618936888947526,0.16621177013844796,0.1801307793160885,0.1537220431038511,0.08741159752514299,0.051660303612510616,0.08402804691343772,0.773560479249297,0.4977337632174241
2022,경기도,31021,성남시 수정구,242193,122391,119802,15751,17069,35261,35172,35845,41776,36897,17846,7268,877,21983,178290,41920,0.14559050013831945,0.14522302461260234,0.14800180021718218,0.17249053440850892,0.15234544350992804,0.10731524032486488,0.17308510155124218,0.7361484435966358,0.4946550891231373
2022,경기도,31022,성남시 중원구,203409,102340,101069,12819,14547,27437,30140,29986,35261,32044,15418,6364,783,18358,149053,35998,0.13488587034005378,0.14817436789915883,0.14741727258872517,0.17335024507273522,0.15753481900997499,0.11093412779178896,0.1769734869155249,0.7327748526368056,0.49687575279363255
2022,경기도,31023,성남시 분당구,459088,222850,236238,40454,48574,54208,65386,80560,77687,54582,26339,13907,2342,60502,332914,65672,0.11807757989753598,0.14242585299550414,0.1754783396647266,0.16922028020771618,0.1188922385250758,0.09276652842156624,0.1430488272400934,0.7251638030181577,0.514581082493988
2022,경기도,31030,의정부시,455128,223559,231569,35383,39359,59699,59806,71069,80218,63184,32088,16300,2090,50932,327162,77034,0.13116969292155173,0.13140479161906102,0.15615167601202298,0.1762537132411102,0.13882687947126962,0.11090945843806578,0.16925787910214268,0.7188351408834438,0.5087997222759312
2022,경기도,31041,안양시 만안구,236296,117602,118694,15767,16965,31628,33427,33340,42097,38051,17395,8036,1167,22038,171798,42460,0.13384907065714188,0.1414624030876528,0.14109422080780037,0.17815367166604598,0.1610310796627958,0.11256221010935437,0.17968988048887835,0.7270457392423063,0.5023106612045909
