election_name,sido,sigungu_norm,sg_id,sg_typecode,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_기본소득당,party_녹색당,party_독도당,party_통일한국당,party_한류연합당,party_기타,sigungu_elec,sgg_name,ratio_더불어민주당,ratio_국민의힘,ratio_기본소득당,ratio_녹색당,ratio_독도당,ratio_통일한국당,ratio_한류연합당,ratio_기타,year,adm_cd,sigungu_pop,total_pop,male_pop,female_pop,age_0_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_89,age_90plus,age_0_14,age_15_64,age_65plus,ratio_20s,ratio_30s,ratio_40s,ratio_50s,ratio_60s,ratio_70plus,ratio_elderly,ratio_working,ratio_female,pop_year
8회지방선거_광역의원비례,서울특별시,중랑구,20220601,8,348762,177680,176077,1603,81241,87489,272,692.0,137.0,91.0,84.0,6071.0,중랑구,서울특별시,0.46139473071440334,0.49687920625635373,0.001544778704771208,0.003930098763609103,0.0007780686858590276,0.0005168193460815439,0.00047706401176757896,0.03447923351715443,2022,11070,중랑구,379127,185196,193931,22788,23908,51854,57667,53496,64333,60756,31788,13413,1520,31886,273865,73376,0.136772110664764,0.1521047037008706,0.14110311320481,0.1696872024413982,0.1602523692588499,0.1232331118596143,0.1935393680745502,0.7223568883250204,0.5115198864760357,2022
8회지방선거_광역의원비례,세종특별자치시,세종특별자치시,20220601,8,292259,149743,147882,1861,67727,71729,1053,0.0,0.0,0.0,0.0,7373.0,세종특별자치시,세종특별자치시,0.45798001108992303,0.48504212818328124,0.007120542053799651,0.0,0.0,0.0,0.0,0.04985731867299604,2022,29010,세종시,382589,192165,190424,51224,48475,43501,61115,74518,50589,34862,15253,7524,1168,72186,271913,38490,0.1137016485053151,0.1597406093745507,0.1947729809273136,0.1322280567397389,0.0911212815841542,0.0625867445221896,0.1006040424580947,0.7107182903847209,0.4977247124198553,2022
8회지방선거_광역의원비례,울산광역시,남구,20220601,8,267930,134749,133283,1466,43168,83060,557,0.0,0.0,0.0,0.0,6498.0,남구,울산광역시,0.32388226555524713,0.6231852524327933,0.004179077601794677,0.0,0.0,0.0,0.0,0.04875340441016484,2022,26020,남구,311172,158893,152279,24125,27511,41514,41155,48250,59930,45551,18315,6842,817,35255,231255,44662,0.1334117465581736,0.1322580437828596,0.1550589384649004,0.1925944493720514,0.1463852788811332,0.0834715205738305,0.1435283380252722,0.7431741930507886,0.4893724371087373,2022
8회지방선거_광역의원비례,울산광역시,동구,20220601,8,127369,70815,68700,2115,23280,34561,641,0.0,0.0,0.0,0.0,10218.0,동구,울산광역시,0.3388646288209607,0.5030713245997088,0.009330422125181951,0.0,0.0,0.0,0.0,0.14873362445414848,2022,26030,동구,154118,81404,72714,14508,15649,16066,21435,26962,24465,24150,9518,2863,332,21104,110349,22665,0.1042447994393905,0.1390817425608949,0.1749438741743339,0.1587420028809094,0.156698114431799,0.0824887423921929,0.1470626403145641,0.7160033221297967,0.4718073164717943,2022
8회지방선거_광역의원비례,울산광역시,북구,20220601,8,175784,88507,86606,1901,34755,43354,387,0.0,0.0,0.0,0.0,8110.0,북구,울산광역시,0.4013001408678383,0.5005888737500866,0.0044685125741865455,0.0,0.0,0.0,0.0,0.0936424728078886,2022,26040,북구,216750,112367,104383,25481,23995,23149,32481,39332,38822,23985,8370,3454,488,35830,159832,21088,0.106800461361015,0.1498546712802768,0.1814625144175317,0.1791095732410611,0.1106574394463667,0.0568027681660899,0.0972918108419838,0.7374025374855825,0.4815824682814302,2022
8회지방선거_광역의원비례,울산광역시,울주군,20220601,8,189051,99378,97385,1993,33650,59135,407,0.0,0.0,0.0,0.0,4193.0,울주군,울산광역시,0.34553576012732967,0.6072290393797812,0.004179288391436053,0.0,0.0,0.0,0.0,0.043055912101452994,2022,26510,울주군,223854,117193,106661,17505,21217,25996,26287,35604,43222,33240,14610,7266,1067,26015,161006,36833,0.11612926282309,0.1174292172576768,0.1590500951513039,0.1930812047137866,0.1484896405692996,0.1024909092533526,0.1645402807186827,0.7192455797082027,0.476475738651085,2022
8회지방선거_광역의원비례,울산광역시,중구,20220601,8,181055,98382,97172,1210,32144,59643,409,0.0,0.0,0.0,0.0,4976.0,중구,울산광역시,0.33079487918330386,0.6137879224467954,0.0042090314082245915,0.0,0.0,0.0,0.0,0.0512081669616762,2022,26010,중구,204622,103223,101399,15952,18158,21861,23966,31784,38861,34154,15498,5748,627,23659,144505,36458,0.1068360195873366,0.11712328097663,0.1553303163882671,0.1899160403084712,0.1669126486888018,0.1068946643078456,0.1781724350265367,0.706204611429856,0.4955430012413132,2022
8회지방선거_광역의원비례,인천광역시,강화군,20220601,8,63147,39086,37521,1565,12063,23821,290,0.0,0.0,0.0,0.0,1347.0,강화군,인천광역시,0.32149996002238745,0.6348711388289224,0.007729005090482663,0.0,0.0,0.0,0.0,0.035899896058207405,2022,23510,강화군,66420,33292,33128,3301,4445,4490,5070,7017,10897,15064,9596,5955,972,5006,38009,23405,0.0676001204456489,0.0763324299909665,0.1056458897922312,0.1640620295091839,0.2267991568804576,0.2487654320987654,0.3523788015657934,0.5722523336344475,0.4987654320987654,2022
8회지방선거_광역의원비례,인천광역시,계양구,20220601,8,258156,144676,142588,2088,70660,65139,417,0.0,0.0,0.0,0.0,6372.0,계양구,인천광역시,0.49555362302578054,0.4568336746430275,0.002924509776418773,0.0,0.0,0.0,0.0,0.044688192554773194,2022,23070,계양구,288122,142279,145843,17898,23896,39247,37520,42374,56866,45726,16777,8625,1316,27019,217303,43800,0.1362166026891386,0.130222614031556,0.1470696441090926,0.1973677817035839,0.1587036047229993,0.0927315512178868,0.1520189364227653,0.7542048160154379,0.5061848800161043,2022
8회지방선거_광역의원비례,인천광역시,남동구,20220601,8,441226,212051,207899,4152,91723,104821,672,0.0,0.0,0.0,0.0,10683.0,남동구,인천광역시,0.4411901933150232,0.5041919393551677,0.003232338779888311,0.0,0.0,0.0,0.0,0.05138552854992087,2022,23050,남동구,511392,255604,255788,39571,46238,64552,69034,85275,88093,73165,33091,14944,2319,58702,372172,80518,0.1262280207746699,0.1349923346473937,0.1667507508916838,0.1722612008009511,0.143070286590326,0.0984645829422439,0.1574486890682685,0.7277626556535887,0.5001799011325949,2022
