sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_진보당,party_정의당,party_통일한국당,party_우리공화당,party_한국복지당,party_충청의미래당
20220601,9,8회지방선거_기초의원비례,경기도,안산시단원구,안산시,266229,121588,118918,2670,60715,58203.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,고양시덕양구,고양시,461775,241007,236456,4551,106322,111507.0,1386.0,17241.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,고양시일산동구,고양시,229024,117242,115379,1863,49567,60430.0,476.0,4906.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,고양시일산서구,고양시,233891,125015,123084,1931,55324,62219.0,494.0,5047.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,과천시,과천시,65220,42658,41940,718,17252,24688.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,의왕시,의왕시,138928,80551,78638,1913,37752,40886.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,구리시,구리시,164045,88172,85996,2176,41213,44783.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,남양주시,남양주시,610260,299214,291405,7809,143773,146236.0,0.0,0.0,0.0,1396.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,오산시,오산시,190375,83165,81131,2034,40970,40161.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,화성시,화성시,711229,336654,330124,6530,164069,157567.0,8488.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,시흥시,시흥시,431352,195091,190512,4579,102103,88409.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,군포시,군포시,231192,128222,125165,3057,63192,61973.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,하남시,하남시,266856,139669,135739,3930,63936,71803.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,파주시,파주시,403729,187068,183266,3802,86225,88850.0,0.0,8191.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,여주시,여주시,98333,50658,49111,1547,18061,31050.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,이천시,이천시,188563,88718,86253,2465,36826,49427.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,용인시처인구,용인시,222743,105101,101923,3178,43563,54928.0,487.0,2945.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,용인시수지구,용인시,231983,135860,134338,1522,55581,74037.0,352.0,4368.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,용인시기흥구,용인시,434819,241179,237035,4144,107722,120435.0,969.0,7909.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,안성시,안성시,163518,81737,79071,2666,36993,42078.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,김포시,김포시,392604,195779,191534,4245,90973,100561.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,포천시,포천시,131980,67744,65613,2131,27668,37945.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,연천군,연천군,37898,22792,21862,930,8564,13298.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,양평군,양평군,107165,63419,61429,1990,24698,36731.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,경기도,가평군,가평군,55791,33164,31841,1323,11375,20466.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,춘천시,춘천시,244406,137707,133208,4499,58041,71608.0,3559.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,원주시,원주시,304060,157497,153214,4283,68319,83448.0,0.0,0.0,0.0,0.0,1447.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,강릉시,강릉시,185804,101925,98537,3388,37399,61138.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,동해시,동해시,76886,42040,40628,1412,15555,25073.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,삼척시,삼척시,57023,37542,35882,1660,13567,22315.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,태백시,태백시,35236,22536,21703,833,8738,12965.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,정선군,정선군,32001,22083,20991,1092,9349,11642.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,속초시,속초시,71621,37089,35869,1220,14631,21238.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,고성군,고성군,24776,16780,15786,994,6361,9425.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,양양군,양양군,25359,16673,16035,638,5990,10045.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,인제군,인제군,27939,18534,17565,969,7729,9836.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,홍천군,홍천군,60743,36932,35950,982,13928,22022.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,횡성군,횡성군,41777,27739,26624,1115,10402,16222.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,영월군,영월군,34371,22802,21942,860,8441,13501.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,평창군,평창군,37372,25363,24579,784,9791,14788.0,0.0,0.0,0.0,0.0,0.0,0.0
20220601,9,8회지방선거_기초의원비례,강원도,화천군,화천군,21055,13832,13289,543,5428,7861.0,0.0,0.0,0.0,0.0,0.0,0.0
