sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_개혁신당,party_민주노동당,party_무소속
20250603,1,21대대통령선거,경상남도,진주시,대한민국,289796,231564,229518,2046,80491,127358,19197,2198,274
20250603,1,21대대통령선거,경상남도,통영시,대한민국,102203,79149,78491,658,27921,45078,4765,616,111
20250603,1,21대대통령선거,경상남도,고성군,대한민국,43287,33580,33260,320,10744,20573,1662,254,27
20250603,1,21대대통령선거,경상남도,사천시,대한민국,94356,73114,72451,663,25242,41495,4949,662,103
20250603,1,21대대통령선거,경상남도,김해시,대한민국,448630,347546,344833,2713,164796,147543,28524,3539,431
20250603,1,21대대통령선거,경상남도,밀양시,대한민국,90650,69757,69179,578,23125,41676,3783,508,87
20250603,1,21대대통령선거,경상남도,거제시,대한민국,192259,146586,145322,1264,69037,63490,10928,1682,185
20250603,1,21대대통령선거,경상남도,의령군,대한민국,23294,18214,17986,228,5421,11559,832,140,34
20250603,1,21대대통령선거,경상남도,함안군,대한민국,51990,40601,40263,338,13802,23755,2275,371,60
20250603,1,21대대통령선거,경상남도,창녕군,대한민국,50638,38724,38386,338,11013,25310,1760,263,40
20250603,1,21대대통령선거,경상남도,양산시,대한민국,303506,236806,235025,1781,105053,109649,17859,2211,253
20250603,1,21대대통령선거,경상남도,하동군,대한민국,37540,30092,29739,353,10904,17035,1492,261,47
20250603,1,21대대통령선거,경상남도,남해군,대한민국,36504,28758,28424,334,9931,16808,1377,269,39
20250603,1,21대대통령선거,경상남도,함양군,대한민국,32702,25848,25568,280,8489,15503,1321,219,36
20250603,1,21대대통령선거,경상남도,산청군,대한민국,30968,24668,24411,257,7478,15548,1130,219,36
20250603,1,21대대통령선거,경상남도,거창군,대한민국,52316,41373,40919,454,12623,25259,2640,332,65
20250603,1,21대대통령선거,경상남도,합천군,대한민국,37329,28935,28567,368,7001,20132,1188,200,46
20250603,1,21대대통령선거,제주특별자치도,제주시,대한민국,409912,306685,303875,2810,169119,102224,27522,4626,384
