sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_국민의당,party_바른정당,party_정의당,party_새누리당,party_경제애국당,party_국민대통합당,party_늘푸른한국당,party_민중연합당,party_한국국민당,party_홍익당,party_무소속
20170509,1,19대대통령선거,경기도,광명시,대한민국,271716,218795,218107,688,97959,39081,51958,13835,14345,294,32,139,49,142,45,66,162
20170509,1,19대대통령선거,경기도,평택시,대한민국,379547,273677,272518,1159,104574,62827,64057,19321,20128,344,62,225,69,358,118,97,338
20170509,1,19대대통령선거,경기도,양주시,대한민국,164908,121344,120732,612,46286,29739,28469,7602,7921,164,34,97,50,105,51,56,158
20170509,1,19대대통령선거,경기도,동두천시,대한민국,80335,55487,55193,294,19444,15733,12808,3201,3662,86,11,50,18,51,21,34,74
20170509,1,19대대통령선거,경기도,안산시상록구,대한민국,305169,226266,225339,927,98564,39723,55067,14307,16558,272,49,206,51,169,83,75,215
20170509,1,19대대통령선거,경기도,안산시단원구,대한민국,252848,187253,186508,745,80771,33862,45779,11938,13251,206,31,149,48,137,76,68,192
20170509,1,19대대통령선거,경기도,고양시덕양구,대한민국,366265,287087,286175,912,120063,55157,61581,18038,30094,409,37,143,134,194,66,87,172
20170509,1,19대대통령선거,경기도,고양시일산동구,대한민국,239470,188297,187758,539,81622,34980,41166,13989,15308,268,26,87,43,86,24,54,105
20170509,1,19대대통령선거,경기도,고양시일산서구,대한민국,239069,192610,192067,543,85919,35147,41563,13991,14764,265,23,80,42,88,23,57,105
20170509,1,19대대통령선거,경기도,과천시,대한민국,49206,40789,40662,127,16528,9055,8736,3354,2814,72,8,14,7,17,9,19,29
20170509,1,19대대통령선거,경기도,의왕시,대한민국,127577,103913,103562,351,43869,21218,23602,7575,6902,139,13,54,17,57,18,32,66
20170509,1,19대대통령선거,경기도,구리시,대한민국,159142,123469,123039,430,51181,26113,28698,8167,8386,162,14,52,18,85,31,50,82
