sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_국민의힘,party_정의당,party_기본소득당,party_국가혁명당,party_노동당,party_새누리당,party_신자유민주연합,party_우리공화당,party_진보당,party_통일한국당,party_한류연합당
20220309,1,20대대통령선거,강원도,영월군,대한민국,34306,26925,26673,252,10758,14904,536,13,309,14.0,2,13,39,43,27,15
20220309,1,20대대통령선거,강원도,평창군,대한민국,37325,29353,29119,234,11463,16571,564,17,366,5.0,8,7,34,33,26,25
20220309,1,20대대통령선거,강원도,화천군,대한민국,21088,16494,16267,227,6445,9009,433,12,283,6.0,6,4,18,26,7,18
20220309,1,20대대통령선거,강원도,양구군,대한민국,18565,14529,14314,215,5689,7878,387,13,260,4.0,8,2,14,23,16,20
20220309,1,20대대통령선거,강원도,철원군,대한민국,37248,27846,27439,407,11039,15194,722,16,367,5.0,7,7,20,26,16,20
20220309,1,20대대통령선거,충청북도,청주시상당구,대한민국,162949,122198,120876,1322,55852,59685,3548,89,1267,61.0,23,34,87,112,45,73
20220309,1,20대대통령선거,충청북도,청주시서원구,대한민국,165206,124726,123307,1419,56323,61745,3499,94,1240,54.0,34,24,66,123,41,64
20220309,1,20대대통령선거,충청북도,청주시흥덕구,대한민국,223335,163683,161961,1722,76940,77952,4770,96,1745,41.0,28,33,94,140,59,63
20220309,1,20대대통령선거,충청북도,청주시청원구,대한민국,159671,117836,116631,1205,56679,54855,3331,54,1283,35.0,20,31,94,123,56,70
20220309,1,20대대통령선거,충청북도,충주시,대한민국,180976,135848,134589,1259,58801,70382,3270,75,1509,53.0,29,45,110,122,104,89
20220309,1,20대대통령선거,충청북도,제천시,대한민국,114317,87091,86294,797,36442,46482,1922,44,1000,28.0,14,15,93,97,83,74
20220309,1,20대대통령선거,충청북도,단양군,대한민국,25748,20193,20023,170,7271,11969,387,12,207,7.0,6,9,33,32,64,26
20220309,1,20대대통령선거,충청북도,영동군,대한민국,41165,31795,31459,336,12029,18238,664,11,347,20.0,4,14,26,49,33,24
20220309,1,20대대통령선거,충청북도,보은군,대한민국,28971,22717,22470,247,8757,12754,525,12,275,8.0,10,9,26,29,37,28
20220309,1,20대대통령선거,충청북도,옥천군,대한민국,44671,34242,33889,353,14138,18241,864,31,400,15.0,5,13,32,67,55,28
20220309,1,20대대통령선거,충청북도,음성군,대한민국,80946,58316,57702,614,26700,28700,1310,33,700,23.0,15,28,43,66,41,43
20220309,1,20대대통령선거,충청북도,진천군,대한민국,71306,51932,51434,498,25402,23759,1361,34,672,17.0,8,17,28,73,30,33
20220309,1,20대대통령선거,충청북도,괴산군,대한민국,34819,27419,27164,255,10304,15895,546,22,245,18.0,9,11,23,34,30,27
20220309,1,20대대통령선거,충청북도,증평군,대한민국,30953,22653,22410,243,10215,11264,560,7,275,5.0,8,5,24,16,20,11
20220309,1,20대대통령선거,충청남도,천안시서북구,대한민국,329610,238154,235736,2418,115553,110141,6568,152,2673,59.0,32,39,134,200,63,122
20220309,1,20대대통령선거,충청남도,천안시동남구,대한민국,216193,157433,156023,1410,71851,77739,4085,83,1775,48.0,22,38,97,150,47,88
20220309,1,20대대통령선거,충청남도,공주시,대한민국,91684,68872,68251,621,28472,37339,1423,43,695,21.0,6,16,57,89,48,42
20220309,1,20대대통령선거,충청남도,보령시,대한민국,86253,65715,65032,683,26207,36419,1367,37,655,28.0,14,18,55,103,59,70
20220309,1,20대대통령선거,충청남도,아산시,대한민국,265136,192927,191110,1817,93262,89998,4976,104,2193,85.0,34,42,120,169,55,72
