sg_id,sg_typecode,election_name,sido,sigungu,sgg_name,total_voters,total_voted,valid_votes,invalid_votes,party_더불어민주당,party_자유한국당,party_바른미래당,party_대한애국당,party_민주평화당,party_무소속,party_민중당,party_정의당,party_우리미래,party_녹색당,party_한국국민당,party_노동당,party_대한당,party_새누리당
20180613,6,7회지방선거_기초의원지역구,서울특별시,금천구,금천구가선거구,51456,29341,28251,1090,5341.0,5855.0,2739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,금천구,금천구나선거구,57378,29947,28724,1223,6317.0,3542.0,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,금천구,금천구다선거구,49854,27908,27139,769,5699.0,5859.0,2350.0,0.0,0.0,2246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,금천구,금천구라선거구,48074,29709,28905,804,5047.0,5267.0,2671.0,0.0,0.0,4012.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,영등포구,영등포구가선거구,34303,20442,19671,771,11830.0,5852.0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,영등포구,영등포구나선거구,43431,27615,26792,823,11313.0,6402.0,1949.0,0.0,0.0,7128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,영등포구,영등포구다선거구,53256,31940,30957,983,18585.0,7536.0,4836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,영등포구,영등포구라선거구,52672,33489,32482,1007,19903.0,7732.0,4847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,영등포구,영등포구마선거구,43958,26433,25910,523,12431.0,8921.0,3233.0,0.0,0.0,1186.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,영등포구,영등포구사선거구,65083,36491,34907,1584,7750.0,2980.0,4118.0,0.0,0.0,5014.0,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동작구,동작구가선거구,40675,25348,24515,833,12592.0,5307.0,3143.0,0.0,0.0,3473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동작구,동작구나선거구,48879,29835,29034,801,17563.0,6095.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동작구,동작구다선거구,55939,35227,34222,1005,20678.0,7040.0,4988.0,0.0,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동작구,동작구라선거구,37806,23649,22969,680,14207.0,5932.0,2830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동작구,동작구마선거구,51111,32321,31104,1217,9586.0,8944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동작구,동작구바선거구,34574,22604,21979,625,4371.0,5865.0,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,동작구,동작구사선거구,71505,44164,42442,1722,7350.0,2145.0,4231.0,0.0,0.0,0.0,0.0,4270.0,0.0,0.0,0.0,0.0,0.0,0.0
20180613,6,7회지방선거_기초의원지역구,서울특별시,관악구,관악구가선거구,72414,41945,40688,1257,7099.0,6292.0,7797.0,0.0,0.0,0.0,1509.0,4023.0,0.0,0.0,0.0,0.0,0.0,0.0
